%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
116.0, -12821.2509765625, 21539.056640625, -13837.0927734375, 136245.640625, -187500.015625, -147849.0, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737107E9, 2021-02-19 16:28:30.773
217.0, -13044.7900390625, 21752.76171875, -13636.0166015625, 136430.375, -187500.015625, -151794.421875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737164E9, 2021-02-19 16:28:30.773
215.0, -12657.748046875, 21654.1015625, -13727.3681640625, 136349.640625, -187500.015625, -152157.578125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737215E9, 2021-02-19 16:28:30.773
231.0, -12829.6103515625, 21779.337890625, -13592.4306640625, 136480.3125, -187500.015625, -153569.171875, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 251.0, 192.0, 236.0, 128.0, 24.0, 16.0, 0.0, 0.0, 0.0, 1.6137593107737265E9, 2021-02-19 16:28:30.773
144.0, -12605.466796875, 21654.994140625, -13719.142578125, 136376.109375, -187500.015625, -152330.328125, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737312E9, 2021-02-19 16:28:30.773
213.0, -13052.904296875, 21808.775390625, -13583.7138671875, 136493.03125, -187500.015625, -152000.890625, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737358E9, 2021-02-19 16:28:30.773
189.0, -12752.4072265625, 21902.4296875, -13488.96484375, 136599.109375, -187500.015625, -151769.6875, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737405E9, 2021-02-19 16:28:30.773
199.0, -12582.9140625, 21545.13671875, -13844.916015625, 136244.515625, -187500.015625, -150351.171875, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759310773748E9, 2021-02-19 16:28:30.773
229.0, -12897.626953125, 21604.94921875, -13767.6015625, 136294.1875, -187500.015625, -151357.625, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737532E9, 2021-02-19 16:28:30.773
197.0, -12881.1533203125, 21870.5546875, -13520.927734375, 136563.03125, -187500.015625, -152339.140625, -187500.015625, -187500.015625, -0.13600000739097595, -0.6240000128746033, 0.7700000405311584, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137593107737586E9, 2021-02-19 16:28:30.773
