%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
29.0, -10750.1162109375, 20065.853515625, -13385.251953125, 135118.8125, -187500.015625, -147294.453125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328501E9, 2021-02-19 16:34:44.932
64.0, -11251.8896484375, 20555.78125, -12896.419921875, 135552.171875, -187500.015625, -154528.671875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328544E9, 2021-02-19 16:34:44.932
33.0, -10700.986328125, 19990.638671875, -13457.76171875, 135038.96875, -187500.015625, -147686.84375, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328578E9, 2021-02-19 16:34:44.932
40.0, -10594.01171875, 20037.734375, -13409.6826171875, 135102.359375, -187500.015625, -149646.625, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328616E9, 2021-02-19 16:34:44.932
41.0, -10487.37109375, 19860.373046875, -13588.7646484375, 134912.59375, -187500.015625, -147958.1875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759684932865E9, 2021-02-19 16:34:44.932
88.0, -11005.126953125, 20285.66015625, -13172.8662109375, 135247.078125, -187500.015625, -154639.671875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328687E9, 2021-02-19 16:34:44.932
60.0, -11100.703125, 20370.306640625, -13078.720703125, 135382.59375, -187500.015625, -152702.78125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759684932876E9, 2021-02-19 16:34:44.932
86.0, -10584.1318359375, 20048.375, -13398.3505859375, 135039.46875, -187500.015625, -154367.6875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759684932893E9, 2021-02-19 16:34:44.932
45.0, -10436.07421875, 19880.22265625, -13566.14453125, 134935.53125, -187500.015625, -148082.15625, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849328964E9, 2021-02-19 16:34:44.932
84.0, -11092.365234375, 20300.79296875, -13157.8681640625, 135270.765625, -187500.015625, -154858.5625, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137596849329E9, 2021-02-19 16:34:44.932
