%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
246.0, -9566.1435546875, 18294.365234375, -12866.1552734375, 135168.28125, -187500.015625, -138034.90625, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759737829569E9, 2021-02-19 16:35:37.829
204.0, -9643.369140625, 18393.875, -12756.9892578125, 135244.90625, -187500.015625, -137676.953125, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759737829573E9, 2021-02-19 16:35:37.829
244.0, -9357.9375, 18225.9921875, -12937.5244140625, 135082.78125, -187500.015625, -136465.421875, -187500.015625, -187500.015625, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378295765E9, 2021-02-19 16:35:37.829
206.0, -9203.3076171875, 18096.53125, -13050.7138671875, 134945.140625, -187500.015625, -135614.75, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 251.0, 144.0, 235.0, 240.0, 23.0, 160.0, 0.0, 0.0, 0.0, 1.61375973782958E9, 2021-02-19 16:35:37.829
242.0, -9499.87109375, 18297.2265625, -12863.5400390625, 135168.546875, -187500.015625, -137923.578125, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378295832E9, 2021-02-19 16:35:37.829
208.0, -9681.6357421875, 18419.111328125, -12736.11328125, 135268.640625, -187500.015625, -137992.71875, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378295865E9, 2021-02-19 16:35:37.829
209.0, -9353.4228515625, 18225.365234375, -12927.1533203125, 135086.5, -187500.015625, -137065.671875, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61375973782959E9, 2021-02-19 16:35:37.829
7.0, -9457.3798828125, 18230.640625, -12921.4091796875, 135111.21875, -187500.015625, -137987.234375, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378295932E9, 2021-02-19 16:35:37.829
238.0, -9456.77734375, 18250.6015625, -12905.1591796875, 135120.671875, -187500.015625, -137501.0, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378295968E9, 2021-02-19 16:35:37.829
212.0, -9708.904296875, 18426.017578125, -12739.845703125, 135275.6875, -187500.015625, -137876.078125, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597378296E9, 2021-02-19 16:35:37.829
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137597379273343E9, 2021-02-19 16:35:37.927
3.0, -9382.5693359375, 18283.48046875, -12858.4443359375, 135164.890625, -187500.015625, -137562.71875, -187500.015625, -187500.015625, -0.1420000046491623, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759737948358E9, 2021-02-19 16:35:37.948
