%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
228.0, -15079.2685546875, 18761.115234375, -15099.318359375, 137734.4375, -187500.015625, -142941.1875, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867269351E9, 2021-02-19 16:24:46.726
243.0, -15407.9736328125, 18711.158203125, -15161.8583984375, 137640.9375, -187500.015625, -141023.5625, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61375908672694E9, 2021-02-19 16:24:46.726
241.0, -15028.1728515625, 18651.0546875, -15187.9873046875, 137624.890625, -187500.015625, -141905.5, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867269464E9, 2021-02-19 16:24:46.726
237.0, -14903.94140625, 18760.310546875, -15106.0234375, 137669.4375, -187500.015625, -141504.734375, -187500.015625, -187500.015625, -0.10400000214576721, -0.6340000033378601, 0.7680000066757202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590867269516E9, 2021-02-19 16:24:46.726
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.10000000149011612, -0.6420000195503235, 0.7560000419616699, 192.0, 252.0, 224.0, 235.0, 240.0, 23.0, 160.0, 0.0, 0.0, 0.0, 1.613759086828681E9, 2021-02-19 16:24:46.828
239.0, -15381.330078125, 18789.8359375, -15072.294921875, 137735.109375, -187500.015625, -141503.84375, -187500.015625, -187500.015625, -0.10000000149011612, -0.6420000195503235, 0.7560000419616699, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868315783E9, 2021-02-19 16:24:46.831
246.0, -15134.96875, 18502.236328125, -15349.412109375, 137440.0, -187500.015625, -140064.34375, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 252.0, 176.0, 236.0, 16.0, 23.0, 208.0, 0.0, 0.0, 0.0, 1.613759086836733E9, 2021-02-19 16:24:46.836
247.0, -15370.6455078125, 18708.54296875, -15146.4580078125, 137638.96875, -187500.015625, -140612.0625, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868406444E9, 2021-02-19 16:24:46.840
0.0, -15323.662109375, 18916.01171875, -14953.40625, 137821.546875, -187500.015625, -142201.765625, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868437016E9, 2021-02-19 16:24:46.843
254.0, -15081.8388671875, 18532.8359375, -15319.7958984375, 137489.359375, -187500.015625, -140597.46875, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868626282E9, 2021-02-19 16:24:46.862
250.0, -15020.796875, 18609.5703125, -15259.9150390625, 137515.296875, -187500.015625, -140340.25, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868666852E9, 2021-02-19 16:24:46.866
251.0, -15312.822265625, 18655.01171875, -15209.6015625, 137583.234375, -187500.015625, -140245.703125, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868706613E9, 2021-02-19 16:24:46.870
252.0, -15303.0546875, 18897.70703125, -14965.6318359375, 137815.328125, -187500.015625, -142461.8125, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868736951E9, 2021-02-19 16:24:46.873
1.0, -15209.310546875, 19698.681640625, -14750.18359375, 135386.953125, -187500.015625, -7026.80712890625, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086877668E9, 2021-02-19 16:24:46.877
2.0, -15009.173828125, 19715.400390625, -14729.9775390625, 135411.78125, -187500.015625, -7516.82421875, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868813632E9, 2021-02-19 16:24:46.881
3.0, -14973.2314453125, 19484.640625, -14954.1884765625, 135184.859375, -187500.015625, -5332.47802734375, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868836315E9, 2021-02-19 16:24:46.883
4.0, -15131.9296875, 19437.0546875, -15004.1220703125, 135129.25, -187500.015625, -3630.19140625, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086887695E9, 2021-02-19 16:24:46.887
5.0, -15195.1396484375, 19689.404296875, -14759.4375, 135375.390625, -187500.015625, -4746.77294921875, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086890706E9, 2021-02-19 16:24:46.890
6.0, -14980.451171875, 19768.3515625, -14678.6357421875, 135458.78125, -187500.015625, -5699.76171875, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590868946788E9, 2021-02-19 16:24:46.894
7.0, -14874.8623046875, 19591.90625, -14850.7666015625, 135287.34375, -187500.015625, -3892.690185546875, -187500.015625, -187500.015625, -0.10600000619888306, -0.6380000114440918, 0.7620000243186951, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086897688E9, 2021-02-19 16:24:46.897
8.0, -15015.0966796875, 19454.353515625, -14989.146484375, 135144.875, -187500.015625, -1810.848876953125, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 252.0, 224.0, 235.0, 208.0, 23.0, 192.0, 0.0, 0.0, 0.0, 1.613759086900665E9, 2021-02-19 16:24:46.900
9.0, -15129.2021484375, 19696.357421875, -14754.69921875, 135376.328125, -187500.015625, -2508.513916015625, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869046926E9, 2021-02-19 16:24:46.904
10.0, -14924.6396484375, 19802.75, -14647.388671875, 135490.1875, -187500.015625, -3755.472900390625, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869078417E9, 2021-02-19 16:24:46.907
11.0, -14796.7197265625, 19599.08203125, -14844.44140625, 135292.71875, -187500.015625, -2291.634765625, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.613759086911657E9, 2021-02-19 16:24:46.911
12.0, -14945.8505859375, 19424.4921875, -15015.6552734375, 135115.859375, -187500.015625, 116.13966369628906, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869147537E9, 2021-02-19 16:24:46.914
13.0, -15126.54296875, 19565.240234375, -14880.830078125, 135244.921875, -187500.015625, -68.66455841064453, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869186764E9, 2021-02-19 16:24:46.918
14.0, -14954.4345703125, 19737.21484375, -14711.6943359375, 135420.671875, -187500.015625, -1502.506591796875, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869217548E9, 2021-02-19 16:24:46.921
15.0, -14747.9482421875, 19579.5234375, -14864.826171875, 135272.28125, -187500.015625, -494.01824951171875, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869256918E9, 2021-02-19 16:24:46.925
16.0, -14759.9072265625, 19406.185546875, -15036.7783203125, 135096.6875, -187500.015625, 2079.628662109375, -187500.015625, -187500.015625, -0.10000000149011612, -0.6460000276565552, 0.7600000500679016, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869289205E9, 2021-02-19 16:24:46.928
17.0, -14969.4541015625, 19541.615234375, -14905.3046875, 135218.125, -187500.015625, 2429.656982421875, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 253.0, 0.0, 235.0, 208.0, 23.0, 128.0, 0.0, 0.0, 0.0, 1.6137590869317837E9, 2021-02-19 16:24:46.931
18.0, -14874.3251953125, 19764.775390625, -14681.765625, 135439.3125, -187500.015625, 865.4371337890625, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869357283E9, 2021-02-19 16:24:46.935
19.0, -14621.3037109375, 19692.400390625, -14745.490234375, 135372.78125, -187500.015625, 1296.9822998046875, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869387488E9, 2021-02-19 16:24:46.938
20.0, -14637.1953125, 19430.7734375, -15001.775390625, 135112.84375, -187500.015625, 3892.220947265625, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869417832E9, 2021-02-19 16:24:46.941
21.0, -14848.9111328125, 19454.30859375, -14984.318359375, 135124.40625, -187500.015625, 4829.5634765625, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869448617E9, 2021-02-19 16:24:46.944
22.0, -14785.4326171875, 19684.48828125, -14757.8955078125, 135353.796875, -187500.015625, 3369.9052734375, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869487796E9, 2021-02-19 16:24:46.948
23.0, -14481.3818359375, 19647.62890625, -14793.255859375, 135328.28125, -187500.015625, 3332.64501953125, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869517467E9, 2021-02-19 16:24:46.951
24.0, -14463.0537109375, 19394.51953125, -15043.6396484375, 135078.5, -187500.015625, 5849.09375, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869547467E9, 2021-02-19 16:24:46.954
25.0, -14622.98046875, 19401.849609375, -15038.4091796875, 135077.46875, -187500.015625, 7388.83837890625, -187500.015625, -187500.015625, -0.09600000083446503, -0.6460000276565552, 0.7520000338554382, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6137590869588208E9, 2021-02-19 16:24:46.958
